	HEK25a51ko_1_wtHEK293_1	HEK25a51ko_1_wtHEK293_2	HEK25a51ko_1_wtHEK293_3	HEK25a51ko_2_wtHEK293_1	HEK25a51ko_2_wtHEK293_2	HEK25a51ko_2_wtHEK293_3	HEK25a51ko_3_wtHEK293_1	HEK25a51ko_3_wtHEK293_2	HEK25a51ko_3_wtHEK293_3
dopa3glcur[e]	1.0035225547117368	1.0010703272292867	0.9970866005050352	1.0070936859463488	1.006001291933043	0.9991271513693438	1.0081939660573191	1.0035702472990884	1.0015757353321457
neuromelanin[c]	0.9989804655418824	1.0001564377552037	0.9990814528275274	1.000288764173957	1.0013225717939043	1.0000906628356168	1.0000763996989348	1.0007381965516455	0.9999484544687227
CE5026[e]	1.0119781514175765	1.0159313823395482	1.0117767220967302	1.0073314614402835	1.0120792232736895	1.0063642152468777	1.0085642800721757	1.0082889286006365	1.0078677238079659
5cysgly34dhphe[e]	1.0048657339902287	1.0073504915959408	1.0048846796032105	1.0036648559264285	1.0059950452014113	1.0031934048511275	1.004022609728539	1.0040989975270156	1.003661737686256
CE1261[e]	1.0010976293357976	0.9999933893447212	1.002639411485298	1.002472521227113	0.9993593589690748	1.0032997733737845	1.007480643378122	1.0046788559272395	1.0081426085185017
6hddopaqn[c]	0.9949688633874743	1.009012179441322	0.9813912555086209	1.0028374736732752	1.017773206547252	0.9892118619318048	1.0157487178752422	1.0281795360537405	1.0089800929824135
5cysdopa[c]	0.9983992448489364	1.0015699520183154	0.9951544893447928	1.0008077367816712	1.0028361649353967	0.9968538197995968	1.0014897681178878	1.0030910619671982	0.9985839563372914
23dh1i56dio[c]	1.0366105043140972	1.2047561856054365	0.9430430099166298	0.9982364622887883	1.1440092044060224	0.9115243886597143	1.1158286453162725	1.2970152581420984	1.0147893059876025
4glu56dihdind[c]	1.0198713366815677	1.0733499180162438	1.0005148745593648	0.9971671002285308	1.0358223055747506	0.9805436310147585	1.0108892411613082	1.0836189788689594	0.9914139093768285
ind56qn[c]	1.0007918576699903	1.0098110368285622	0.9937552175812588	1.0057324768833704	1.0142116407791462	0.9976336677755381	1.0101333550669387	1.0172790062808121	1.004312894100185
4glu56dihdind[e]	1.0027398200575817	0.9206130754304872	1.043702307883102	1.0258973760702819	0.9468300704597545	1.0624857828173984	0.9563898956891316	0.8756142938461453	1.0016381699256889
5cysdopa[e]	0.9984490818011675	1.0011285770341265	0.9958893481608371	1.000732430641222	1.0023986547873351	0.9975607073330337	1.001168118190646	1.0025062593094005	0.9988569549822001
CE5025[e]	1.0126738751550322	1.0147474075237157	1.0100515066922386	1.0079033204013461	1.0123497084865447	1.0048965482652712	1.007917476791173	1.0063618274397057	1.0054807924347682
CE2172[e]	0.9984862352558895	1.001521692949718	1.0007339909321016	1.0015286695942234	1.0039313033085635	1.0043306999927926	1.0005745447906116	1.0026052062696893	1.002913018009576
CE5629[e]	1.0006351943733884	1.0049633682092665	1.003514441456825	0.9986924721911407	1.0014436332923329	1.0002172430281253	1.0011383884192202	1.0030917231918304	1.002886754595392
Rtotal[r]	1.074106828144303	1.0395016467087068	1.0501793303152902	1.0734417902749493	1.0409012824705317	1.0528086169906565	1.0707317071616616	1.0383989159607963	1.0469369697340012
dhcrm_hs[r]	1.0338601158270762	1.036756658035758	1.030065121636988	0.9821535971390857	0.9830192358738988	0.9733650561532867	1.0029272659190378	1.0033861748201114	0.9944457410880402
